;;;;;;When federal holidays fall on Saturday, Federal Reserve Banks and Branches will be open the preceding Friday.;;;;;;;
;;;;;;When federal holidays fall on Sunday, Federal Reserve Banks and Branches will be closed the following Monday.;;;;;;;
ID;CONTRY;STATE-NAME;STATE-CODE;MONTH;DAY;HOLIDAY-NAME;ALTERNATIVE-HOLIDAY-NAME;HOLIDAY-TYPE;CITY-NAME;CITY-CODE;OPTIONAL;BUSSINESS-RULE;COMMENTS
43;USA;Columbia;DC;Apr;16;Emancipation Day;Emancipation Day;Government Holiday;;;;;Washington DC
44;USA;Columbia;DC;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
45;USA;Columbia;DC;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
46;USA;Delaware;DE;Apr;;Good Friday;Good Friday;Government Holiday;;;;GoodFriday;11 states
47;USA;Delaware;DE;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
48;USA;Delaware;DE;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
49;USA;Delaware;DE;Nov;;Day after Thanksgiving;Day after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
50;USA;Florida;FL;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
51;USA;Florida;FL;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
52;USA;Florida;FL;Nov;;Friday after Thanksgiving;Friday after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
53;USA;Georgia;GA;Apr;10;State Holiday;State Holiday;Government Holiday;;;;;11 states
54;USA;Georgia;GA;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
55;USA;Georgia;GA;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
56;USA;Georgia;GA;Nov;;State Holiday;State Holiday;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
57;USA;Georgia;GA;Dec;24;Washington's Birthday Holiday;Washington's Birthday Holiday;Government Holiday;;;;;Georgia, Indiana
58;USA;Hawaii;HI;Mar;;Prince Kuhio Day;Prince Kuhio Day;Government Holiday;;;;26,March,nearest;26 March or nearest weekday
59;USA;Hawaii;HI;Apr;;Good Friday;Good Friday;Government Holiday;;;;GoodFriday;11 states
60;USA;Hawaii;HI;Jun;;King Kamehameha I Day;King Kamehameha I Day;Government Holiday;;;;11,June,nearest;11 June or nearest weekday
61;USA;Hawaii;HI;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
62;USA;Hawaii;HI;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
63;USA;Hawaii;HI;Aug;;Statehood Day;Statehood Day;Government Holiday;;;;3,Friday,August;3rd Friday in August
64;USA;Iowa;IA;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
65;USA;Iowa;IA;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
66;USA;Iowa;IA;Nov;;Day after Thanksgiving;Day after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
67;USA;Idaho;ID;Mar;4;Idaho Day;Idaho Day;Not A Public Holiday;;;;;Idaho only
68;USA;Idaho;ID;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
69;USA;Idaho;ID;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
70;USA;Illinois;IL;Feb;12;Lincoln's Birthday;Lincoln's Birthday;Government Holiday;;;;;Connecticut, Illinois, Missouri, New York.
71;USA;Illinois;IL;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
72;USA;Illinois;IL;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
73;USA;Illinois;IL;Nov;;Day after Thanksgiving;Day after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
74;USA;Indiana;IN;Apr;;Good Friday;Good Friday;Government Holiday;;;;GoodFriday;11 states
75;USA;Indiana;IN;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
76;USA;Indiana;IN;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
77;USA;Indiana;IN;Nov;27;Lincoln's Birthday (observed);Lincoln's Birthday (observed);Government Holiday;;;;;Indiana
78;USA;Indiana;IN;Dec;24;Washington's Birthday Holiday;Washington's Birthday Holiday;Government Holiday;;;;;Georgia, Indiana
79;USA;Kansas;KS;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
80;USA;Kansas;KS;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
81;USA;Kansas;KS;Dec;24;Christmas Eve;Christmas Eve;Government Holiday;;;;;AR, KS, KY, MI, NC, OK, SC, TX, VA, WI
82;USA;Kentucky;KY;Apr;;Good Friday;Good Friday;Government Holiday;;;;GoodFriday;11 states
83;USA;Kentucky;KY;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
84;USA;Kentucky;KY;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
85;USA;Kentucky;KY;Nov;;Day after Thanksgiving;Day after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
86;USA;Kentucky;KY;Dec;24;Christmas Eve;Christmas Eve;Government Holiday;;;;;AR, KS, KY, MI, NC, OK, SC, TX, VA, WI
87;USA;Kentucky;KY;Dec;31;New Year's Eve;New Year's Eve;Government Holiday;;;;;Kentucky, Michigan, Wisconsin only
88;USA;Louisiana;LA;Feb;25;Mardi Gras;Mardi Gras;Government Holiday;;;;;Alabama, Louisiana only.
89;USA;Louisiana;LA;Apr;;Good Friday;Good Friday;Government Holiday;;;;GoodFriday;11 states
90;USA;Louisiana;LA;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
91;USA;Louisiana;LA;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
92;USA;Massachusetts;MA;Feb;;Washington's Birthday;Washington's Birthday;Federal Holiday;;;;3,Monday,February;3rd Monday in February
93;USA;Massachusetts;MA;Apr;;Patriot's Day;Patriot's Day;Government Holiday;;;;3,Monday,April;Maine, Massachusetts. 3rd Monday in April
94;USA;Massachusetts;MA;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
95;USA;Maryland;MD;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
96;USA;Maryland;MD;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
97;USA;Maryland;MD;Nov;;American Indian Heritage Day;American Indian Heritage Day;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
98;USA;Maine;ME;Feb;;Washington's Birthday/President's Day;Washington's Birthday/President's Day;Federal Holiday;;;;3,Monday,February;3rd Monday in February
99;USA;Maine;ME;Apr;;Patriot's Day;Patriot's Day;Government Holiday;;;;3,Monday,April;Maine, Massachusetts. 3rd Monday in April
100;USA;Maine;ME;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
101;USA;Maine;ME;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
102;USA;Maine;ME;Oct;12;Indigenous Peoples' Day;Indigenous Peoples' Day;Regional Holiday;;;;;
103;USA;Maine;ME;Nov;;Thanksgiving Friday;Thanksgiving Friday;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
104;USA;Michigan;MI;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
105;USA;Michigan;MI;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
106;USA;Michigan;MI;Nov;;Day after Thanksgiving;Day after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
107;USA;Michigan;MI;Dec;24;Christmas Eve;Christmas Eve;Government Holiday;;;;;AR, KS, KY, MI, NC, OK, SC, TX, VA, WI
108;USA;Michigan;MI;Dec;31;New Year's Eve;New Year's Eve;Government Holiday;;;;;Kentucky, Michigan, Wisconsin only.
109;USA;Minnesota;MN;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
110;USA;Minnesota;MN;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
111;USA;Minnesota;MN;Nov;;Day after Thanksgiving;Day after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
112;USA;Missouri;MO;Feb;12;Lincoln's Birthday;Lincoln's Birthday;Government Holiday;;;;;Connecticut, Illinois, Missouri, New York.
113;USA;Missouri;MO;May;;Truman Day;Truman Day;Government Holiday;;;;8,May,nearest;8 May or nearest weekday
114;USA;Missouri;MO;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
115;USA;Missouri;MO;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
116;USA;Mississippi;MS;Jan;;Robert E. Lee's Birthday;Robert E. Lee's Birthday;Government Holiday;;;;3,Monday,January;Alabama, Mississippi. Third Monday in January
117;USA;Mississippi;MS;Apr;;Confederate Memorial Day;Confederate Memorial Day;Government Holiday;;;;4,Monday,April;Alabama, Mississippi. Last Monday in April
118;USA;Mississippi;MS;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
